Year,food,cigar,cloth,home,furniture,medical,transportation,communiccation,amusement,education,hotel,restaurant,other,durable,investment,HHID
1363,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,,ADDRESS
1364,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,,ADDRESS
1365,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,,ADDRESS
1366,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1367,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1368,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1369,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1370,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1371,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1372,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1373,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1374,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1375,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,,ADDRESS
1376,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,,P3S08,P3S01,P3S08,P3S09,,ADDRESS
1377,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,P3S09,P3S08,P3S01,P3S08,P3S09,,ADDRESS
1378,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,P3S09,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1379,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,P3S09,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1380,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,P3S09,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1381,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,P3S09,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1382,P3S01,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S06,P3S07,P3S09,P3S08,P3S01,P3S08,P3S09,P3S10,ADDRESS
1383,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,ADDRESS
1384,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1385,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,ADDRESS
1386,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1387,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1388,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1389,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1390,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1391,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1392,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1393,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1394,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1395,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1396,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1397,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1398,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
1399,P3S01,P3S02,P3S03,P3S04,P3S05,P3S06,P3S07,P3S08,P3S09,P3S10,P3S11,P3S11,P3S12,P3S13,P3S14,Address
