Year,Region,Table,HHID,IndivNo,ActivityState,JobCode,WageWorkplaceActivity,WageSector,CurrentlyInThisJob,HoursPerDay,DayPerWeek,PubWageGrossIncomeM,PubWageGrossIncomeY,PubWageContIncomeM,PubWageContIncomeY,PubWageTempIncomeM,PubWageTempIncomeY,PubWageNetIncomeM,PubWageNetIncomeY
1363,U,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,COL05,,COL07,,COL09,,COL11
1364,U,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,COL05,,COL07,,COL09,,COL11
1365,U,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,COL05,,COL07,,COL09,,COL11
1366,U,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,COL05,,COL07,,COL09,,COL11
1367,U,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,COL05,,COL07,,COL09,,COL11
1368,U,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,COL05,,COL07,,COL09,,COL11
1363,R,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,,,COL05,,COL07,,COL09
1364,R,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,,,COL05,,COL07,,COL09
1365,R,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,,,COL05,,COL07,,COL09
1366,R,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,,,COL05,,COL07,,COL09
1367,R,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,,,COL05,,COL07,,COL09
1368,R,P4S1,ADDRESS,COL01,,COL02,,,COL03,,,,,,COL05,,COL07,,COL09
1369,B,P4S1,ADDRESS,COL01,,COL02,COL03,COL04,,,,,COL06,,COL08,,COL10,,COL12
1370,B,P4S1,ADDRESS,COL01,,COL02,COL03,COL04,,,,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1371,B,P4S1,ADDRESS,COL01,,COL02,COL03,COL04,,,,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1372,B,P4S1,ADDRESS,COL01,,COL02,COL03,COL04,,,,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1373,B,P4S1,ADDRESS,COL01,,COL02,COL03,COL04,,,,COL05,COL06,COL07,COL08,COL09,COL10,COL11,COL12
1374,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1375,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1376,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1377,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1378,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1379,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1380,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1381,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1382,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1383,B,P4S1,ADDRESS,COL01,COL02,COL03,COL04,COL05,,,,COL06,COL07,COL08,COL09,COL10,COL11,COL12,COL13
1384,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1385,B,P4S01,ADDRESS,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1386,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1387,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1388,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1389,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1390,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1391,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1392,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1393,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1394,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1395,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1396,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1397,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1398,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
1399,B,P4S01,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15
